id,name,decathlon_id,decathlon_name
1,stick,26461;11267,HOCKEY STICK;HOCKEY STICK
1,stick,12181;12182,WALKING POLE;HIKING POLE
1,stick,10407;10616;12061;25868,GOLF SINGLE IRON;GOLF SET;HYBRID GOLF CLUB;PUTTER
1,stick,12139,SKI POLE
2,shoes,25126,SHOES
2,shoes,265,CLEATED SHOES
2,shoes,25129,SLIPPERS
2,shoes,265;10276,CLEATED SHOES;FOOTBALL BOOTS
2,shoes,10556,GOLF SHOES
3,racket,12132,BADMINTON RACKET
3,racket,25849,TENNIS RACKET
4,swimsuit,262;25088;10399,1-PIECE SWIMSUIT;2 PIECES SWIMSUIT;BIKINI
5,gloves,10641,BOXING GLOVES
5,gloves,25111,GLOVES
5,gloves,11268,HOCKEY GLOVES
5,gloves,25113;25111,MITTENS;GLOVES
6,ski,25665,SKIS
7,bat,25876,BASEBALL BAT
8,ball,10370,TENNIS BALL
8,ball,10374,FOOT BALL
8,ball,10373,BASKET BALL
8,ball,10364,BASEBALL
8,ball,10381,VOLLEY BALL
8,ball,10365,GOLF BALL
8,ball,10375,AMERICAN FOOT BALL
8,ball,11301,SOFT BALL
9,bicycle,25551,HYBRID BIKE
9,bicycle,25549,ROAD BIKE
9,bicycle,25552,MOUNTAIN BIKE
9,bicycle,10987,STUDIO BIKE
9,bicycle,25548,CHILD BIKE
10,skates,25436,ICE SKATE
10,skates,10067,ROLLER SKATES
11,mat,10796,YOGA MAT
11,mat,11299,PILATES MAT
12,block,10795,YOGA BLOCK
13,snowboard,12154,SNOWBOARD
14,boots,10404,SKI BOOTS
14,boots,10273,SNOWBOARD BOOTS
14,boots,11354,SNOW BOOTS
15,helmet,25368,HELMET
17,canoe,25605,KAYAK
18,kayak,25605,KAYAK
19,sledge,25654,SLEDGE
20,goggle,25218;25387,SWIMMING GOGGLE;MASK
20,goggle,10646,SKI GOGGLES
22,board,25656,SURFBOARD
23,wetsuit,10182,SURF WETSUIT
24,tent,26255,TENT
25,trampoline,26329,TRAMPOLINE
26,treadmill,26353,TREADMILL
27,weights,26345;11219;11212;10847,DUMBELL;DUMBELLS KIT;WEIGHT PLATE;KETTLEBELL
28,mattress,26249,MATTRESS
29,sleeping bag,26251,SLEEPING BAG
30,pants,25053,TROUSERS
30,pants,25044;25059,SKI PANTS;OVERTROUSERS
30,pants,10470,HOCKEY GIRDLE
31,shorts,25035,BERMUDA SHORTS
31,shorts,10612;10286,CYCLING SHORTS;RUNNING MID TIGHT
32,legging,25040;1017;10988;10877,CROPPED LEGGING;LEGGINGS;LEGGING 7/8;RUNNING LONG TIGHT
33,socks,25095,SOCKS
34,underwear,25075;25077,BOXER SHORTS;LONGJOHNS
35,bra,25076;25082,SPORTS BRA;BRA
36,jacket,25032,JACKET
37,pads,25279;26568,ELBOW GUARD;PROTECTION
37,pads,12157;25283,PROTECTION KIT;KNEE PAD
37,pads,25283,KNEE PAD
38,scarf,25119,SCARF
39,beanie,25100,BEANIE
40,balaclava,25103,BALACLAVA
40,base layer,10096,BASE LAYER
41,shirt,25015;25014,LONG-SLEEVED T-SHIRT;T-SHIRT
41,shirt,25018,SHORT-SLEEVED POLO
42,leotard,25013;10971,LEOTARD;LEOTARD
43,skirt,10991,SKIRT
44,bag,10566,GOLF BAG
44,bag,26531,SPORT BAG
45,backpack,26524,BACKPACK
46,jersey,10326,SHORT-SLEEVE JERSEY
46,jersey,10327,JERSEY
46,jersey,25014,T-SHIRT
46,jersey,25002,TANK
47,net,25767,GOAL
47,net,10100;10101,BADMINTON NET;NET VOLLEYBALL
47,net,10102,SOCCER NET
47,net,10329,BASKET BALL NET
47,net,10099,TENNIS NET
48,sandals,25138,FLIP-FLOPS
48,sandals,25137,SANDALS
49,bar,26339;10843,TRACTION BAR;PUSH UP BAR
50,skipping rope,26322,SKIPPING ROPE
51,bands,266,ELASTIC
52,compass,25187,COMPASS
53,cones,26177,CONES
54,cap,25104,CAP
54,cap,25101,SWIM CAP
55,jockstrap,25370,GROIN GUARD
56,mouthguard,25399,MOUTHGUARD
57,paddle,25625,PADDLE
58,puck,25958,PALET
59,punching bag,25838;25845,PUNCH BAG;SPEED BALL
60,raincoat,25062;25032,SLICKERS;JACKET
61,shuttlecock,25953;25954,PLASTIC SHUTTLE;FEATHER SHUTTLE
62,step,26351,STEP
63,towel,25273,TOWEL
64,weighted vest,10844,WEIGHTED VEST
65,whistle,25431,WHISTLE
66,safety vest,25380,BOUYANCY VEST
67,tape,10422,ADHESIVE TAPE
68,tape,25858,GRIP TAPE
69,bottle,25596,WATER BOTTLE
70,pump,10201,PUMP
70,pump,25262;10328,HAND PUMP;FLOOR PUMP
71,lamp,25213;10079,LANTERN;LAMP
71,lamp,10079;25211,LAMP;HEADLAMP
72,watch,25195,WATCH
73,sunglasses,25216,SUNGLASSES
74,shoulder pads,25394,BACK PROTECTION